,rc_th,rc_r ,rc_p ,rc_y ,sen_r,sen_p,sen_y,cam_x,cam_y,cam_z
0,2000,1499,1508,2000,-2.0,-1.0,160.0,-0.17127036202121848,0.016233539479630972,0.6252838503977434
1,2000,1499,1508,2000,-2.0,-1.0,160.0,-0.17127036202121848,0.016233539479630972,0.6252838503977434
2,2000,1499,1508,2000,-2.0,-1.0,160.0,-0.17127036202121848,0.016233539479630972,0.6252838503977434
3,2000,1499,1508,2000,-2.0,-1.0,160.0,-0.17127036202121848,0.016233539479630972,0.6252838503977434
4,2000,1499,1508,2000,-2.0,0.0,160.0,-0.17127036202121848,0.016233539479630972,0.6252838503977434
5,2000,1499,1508,2000,-2.0,0.0,160.0,-0.1713975928352703,0.016283623329956257,0.6265278362432891
6,2000,1499,1508,2000,-1.0,0.0,161.0,-0.17548608267819046,0.016666149487928546,0.6425332210535726
7,2000,1499,1508,2000,-1.0,1.0,162.0,-0.17277308276911577,0.016271403921066317,0.6347113393550837
8,2000,1499,1508,2000,-2.0,2.0,163.0,-0.16919212606926706,0.01526603470444327,0.6226729738620623
9,2000,1499,1508,2000,-2.0,3.0,164.0,-0.17087222442268776,0.014850758838900044,0.6328220858881517
10,2000,1499,1508,2000,-2.0,3.0,165.0,-0.17210412165964492,0.01387159271096245,0.6390264289193922
11,2000,1499,1508,2000,-2.0,3.0,166.0,-0.1681057943649199,0.012495727466233552,0.6285940942280407
12,2000,1499,1508,2000,-2.0,3.0,168.0,-0.16795892780699231,0.011370042358504195,0.6326503783786228
13,2000,1499,1508,2000,-2.0,3.0,168.0,-0.1670170542803807,0.010454183577218149,0.6325809909662782
14,2000,1499,1508,2000,-2.0,2.0,170.0,-0.1661622685468994,0.009117057151182793,0.6336793558209943
15,2000,1499,1508,1950,-2.0,1.0,171.0,-0.1636328592320335,0.007689179640724666,0.6292881812380043
16,2000,1499,1508,1900,-3.0,1.0,172.0,-0.16122077240693955,0.006309107141778067,0.6260876853691257
17,2000,1499,1508,1850,-3.0,1.0,173.0,-0.16348833846959038,0.004611654561019014,0.6404813810295764
18,2000,1499,1508,1750,-4.0,2.0,175.0,-0.16119140178503305,0.00273222865173763,0.6377846837189082
19,2000,1499,1507,1700,-4.0,2.0,176.0,-0.158635712374566,0.0004498523327904033,0.6341579167730006
20,2000,1500,1507,1600,-4.0,2.0,178.0,-0.15827224300046447,-0.0016195282462184303,0.6392010289502807
21,2000,1500,1507,1550,-4.0,2.0,179.0,-0.15649091837289572,-0.00419376595948608,0.6415508131953559
22,2000,1500,1507,1450,-4.0,2.0,181.0,-0.15657226571999036,-0.006985164978913854,0.650733395637296
23,2000,1500,1507,1350,-3.0,1.0,183.0,-0.15106681212422216,-0.009828892668988603,0.6376928287476697
24,2000,1500,1507,1300,-2.0,1.0,184.0,-0.15305053842906177,-0.012953310456882512,0.6551669509036964
25,2000,1500,1507,1250,-2.0,0.0,185.0,-0.1537057390712269,-0.017065381515410365,0.6660538587246236
26,2000,1501,1507,1150,0.0,-2.0,187.0,-0.14885177431697208,-0.02008969541340723,0.6553421884180217
27,2000,1501,1507,1050,0.0,-2.0,189.0,-0.14711298601433265,-0.023790661813251162,0.6601876514295265
28,2000,1501,1507,1000,0.0,-1.0,191.0,-0.14473701710660972,-0.027231229815564043,0.6579842661085199
29,2000,1501,1507,1000,0.0,-1.0,193.0,-0.1435554599587667,-0.03098234765611441,0.6624730497859667
30,2000,1501,1507,1000,0.0,-1.0,195.0,-0.14121875589267247,-0.03450719920371399,0.658467257764658
31,2000,1501,1506,1000,0.0,-1.0,196.0,-0.1395230556213677,-0.038116237787449075,0.6596448212795529
32,2000,1501,1506,1000,0.0,-1.0,198.0,-0.13552053466690783,-0.03961039185900276,0.6453352039379405
33,2000,1501,1506,1000,0.0,-1.0,197.0,-0.13414698903620773,-0.03663942846127306,0.6360657158298285
34,2000,1501,1506,1000,1.0,0.0,196.0,-0.13262604800006783,-0.03494859638923299,0.6308452814945145
35,2000,1501,1506,1000,0.0,0.0,194.0,-0.13449282591642883,-0.03310438126863961,0.6387034630607853
36,2000,1501,1506,1000,0.0,0.0,193.0,-0.13322909006251576,-0.030948903069008698,0.6317014805066716
37,2000,1501,1506,1000,0.0,0.0,193.0,-0.13491829755368026,-0.02937841886402518,0.6391707835067391
38,2000,1501,1506,1000,0.0,0.0,193.0,-0.1354441601967059,-0.02669199994137246,0.6388137800218346
39,2000,1501,1506,1000,0.0,0.0,193.0,-0.13432931251753125,-0.024137337675183283,0.6325629554846977
40,2000,1501,1506,1000,1.0,0.0,194.0,-0.13696913467097305,-0.02208352195587488,0.6407737021362826
41,2000,1500,1506,1000,1.0,-1.0,194.0,-0.13756160840863882,-0.01913391377280784,0.6417348992044516
42,2000,1500,1506,1000,1.0,-1.0,194.0,-0.13542055547532575,-0.015818472252784706,0.6256980181979558
43,2000,1500,1507,1000,1.0,-1.0,194.0,-0.1412245364950602,-0.01307887259260234,0.6467028461430151
44,2000,1500,1507,1000,0.0,0.0,195.0,-0.14259351917986532,-0.009297217320107876,0.6460167683557074
45,2000,1500,1507,1000,0.0,0.0,195.0,-0.14440949005384038,-0.005579387133458681,0.6457250073348894
46,2000,1500,1507,1000,0.0,0.0,195.0,-0.14622505822504817,-0.001863387742487059,0.6454323095169511
47,2000,1499,1507,1000,0.0,0.0,195.0,-0.1454748835501424,0.002033003301362063,0.6325853831041073
48,2000,1499,1507,1000,0.0,0.0,195.0,-0.15146806046155403,0.006495508661768683,0.6487571151238836
49,2000,1499,1507,1000,0.0,0.0,195.0,-0.1507311171661838,0.010486667078535383,0.6356618892280933
50,2000,1499,1507,1000,0.0,1.0,196.0,-0.1522741092178359,0.014719838007665886,0.6313236922749975
51,2000,1499,1507,1000,0.0,1.0,196.0,-0.15494797740984828,0.01962728939120583,0.6347101043332427
52,2000,1498,1507,1000,0.0,1.0,196.0,-0.15703012593523816,0.024158948454135694,0.632808594533826
53,2000,1498,1508,1000,1.0,1.0,196.0,-0.16358497520766543,0.029856318655847806,0.647860736404968
54,2000,1498,1508,1000,1.0,1.0,196.0,-0.16222650271741956,0.034845953295032664,0.6321681825648255
55,2000,1497,1508,1000,1.0,1.0,196.0,-0.16416806394004735,0.04054612111169494,0.6316383450750703
56,2000,1497,1508,1000,1.0,2.0,195.0,-0.1672081154273464,0.04722613872976957,0.6325768054246064
57,2000,1497,1508,1000,1.0,2.0,195.0,-0.17045172589674454,0.05401610124839831,0.631570085278668
58,2000,1496,1508,1000,1.0,2.0,195.0,-0.17610430129409174,0.06223040591851927,0.642876905021828
59,2000,1496,1508,1000,0.0,1.0,194.0,-0.17895046771085024,0.06950563559482482,0.6412456581151709
60,2000,1495,1509,1150,-1.0,0.0,187.0,-0.18408365311284214,0.09169106756042665,0.6177318470764487
61,2000,1495,1509,1500,-1.0,0.0,180.0,-0.19038581744153174,0.08826933401944402,0.6267525019401963
62,2000,1495,1510,1700,-3.0,0.0,176.0,-0.20152777292237145,0.08746705324659336,0.6529835725035409
63,2000,1495,1510,2000,-4.0,0.0,169.0,-0.20151502383877926,0.08184136810320203,0.642072300586982
64,2000,1496,1510,2000,-4.0,0.0,166.0,-0.20295453677404277,0.07671188806894372,0.63838044701947
65,2000,1496,1510,2000,-3.0,1.0,160.0,-0.20901488321984538,0.07261292986093934,0.6466374193891559
66,2000,1496,1510,2000,-2.0,0.0,156.0,-0.21203780161446076,0.069459841835125,0.6429704708788591
67,2000,1496,1510,2000,0.0,-4.0,154.0,-0.2075261370139986,0.06331744246428303,0.6190461684331879
68,2000,1496,1510,2000,-1.0,-1.0,152.0,-0.21016289164751212,0.061131651671072505,0.6195804840278218
69,2000,1497,1510,2000,0.0,0.0,150.0,-0.21314816651238172,0.058731063780878175,0.617724800994045
70,2000,1497,1510,2000,-1.0,0.0,149.0,-0.2160061619480381,0.05622067520569556,0.6144217843541988
71,2000,1497,1511,2000,-2.0,1.0,146.0,-0.22662351083467414,0.056038465968179296,0.6323315491909529
72,2000,1497,1511,2000,-2.0,1.0,145.0,-0.22426113684010243,0.05236750418252813,0.6136823146026402
